index,Healthy,MPN,MF,HAI_Healthy_coef,HAI_Disease_coef,HAI_All_coef,HAI_Healthy_pval,HAI_Disease_pval,HAI_All_pval,cell,id
T Cluster 20,0.024059670079440622,0.0047406580956002,0.0085719624758883,0.563045090566732,-0.8928571428571429,0.22697181479064285,0.11445589798666722,0.006807187408935392,0.397911946872225,T,0
T Cluster 21,0.008814944825317021,0.0027184807303323602,0.02066607727951815,-0.2605134001129656,0.14285714285714285,-0.11201206444213543,0.4983922968952549,0.7599453002180929,0.6796010982301586,T,0
T Cluster 22,0.0037741613547778224,0.00423947371668378,0.0003959018029108,0.42018290340800896,0.5,0.43330982823668185,0.26015875421000983,0.25316999510032273,0.09361276087895241,T,1
T Cluster 23,0.0007133133521777667,0.00040745715437066,0.0010380477342312,-0.4874121679532904,-0.5,-0.31392854902861644,0.1832247679112596,0.25316999510032273,0.2363795657577864,T,0
T Cluster 24,0.005045372622151989,0.00090305613261722,0.00120577064489045,-0.38656827113536824,0.8571428571428571,0.22549797183745687,0.3040820479752826,0.01369732661532567,0.40106552230107084,T,1
T Cluster 25,0.0212731549884121,0.019849158111570543,0.0342925479880026,0.050421948408961074,0.42857142857142855,0.24465793022887478,0.897498625749166,0.337368311085824,0.3611185190291847,T,1
T Cluster 26,0.006707907899852822,0.007250191888669359,0.1869160225597206,-0.13445852909056286,-0.21428571428571427,-0.3036116483563145,0.7301766369627147,0.6445115810207203,0.25296478761291114,T,0
T Cluster 27,0.0018554127348431111,0.0012330971788697999,0.0018224665790539,0.8235584906796976,0.5357142857142857,0.6676508577932546,0.006363435253643139,0.21521745567801281,0.004711659000961179,T,1
T Cluster 28,0.00043086367286105493,0.0046116322364304595,0.10233917408752355,0.008403658068160179,0.17857142857142858,-0.1208551221612514,0.982881215852173,0.701657942516273,0.6557078312634341,T,0
T Cluster 29,0.012632544848462166,0.01589679002629476,0.0038826435609488003,-0.4537975356806497,0.0,-0.29182090473082656,0.21984567541906408,1.0,0.2727777671506981,T,0
T Cluster 30,0.026958872763093347,0.050108628811475944,0.01275274362516585,-0.2437060839766452,0.5357142857142857,0.004421528859557978,0.5274463958468502,0.21521745567801281,0.9870338554504998,T,1
T Cluster 31,0.0020176225838475664,0.00449277176132774,0.005007312857126,0.16807316136320358,-0.35714285714285715,-0.25497483090117673,0.6655622186097796,0.43161135203832784,0.34056533466674177,T,0
T Cluster 32,0.011882377244587801,0.007288601797488981,0.0103932268175794,-0.2016877936358443,0.5357142857142857,0.2991901194967565,0.6027992537712049,0.21521745567801281,0.2602873420812161,T,1
