sample_name,cluster,CD11b median,CD11c median,CD123 median,CD127 median,CD14 median,CD16 median,CD183_CXCR3 median,CD185_CXCR5 median,CD19 median,CD192_CCR2 median,CD194_CCR4 median,CD195_CCR5 median,CD197_CCR7 median,CD25 median,CD27 median,CD28 median,CD3 median,CD33 median,CD38 median,CD4 median,CD44 median,CD45RA median,CD45RO median,CD56 median,CD57 median,CD8 median,CD80 median,CD86 median,GranzymeB median,HLA-DR median,IFNB median,IFNg median,IL-10 median,IL-17A median,IL-1b median,IL-2 median,Mip1B_CCL4 median,PD-1 median,T-bet median,TGFb median,TNFa median
222_Unstim,I18,0.277,4.29,2.28,0.745,0,0,0.561,0.132,0,0.566,0,3.35,3.33,3.7,1.89,0.539,0,2.34,2.66,0.646,4.05,0.998,2.14,0,1.16,0.0746,1.98,4.28,0.654,8.18,0,0.000016345559,0.153,0.025,0.108,0.0029,0.622,0,0.452,0.365,0.0486
222_Unstim,I19,1.49,4.51,3.09,0.254,0.878,0,0.09,0.000291815,0,1.45,0.0339,2.54,1.28,0.666,0.717,0.344,0,2.2,2.05,0.562,4.77,1.29,1.84,0.119,1.13,0.194,1.57,2.25,0.343,7.2,0,0,0.183,0,3.96,0,4.57,0.0417,0.312,0.334,0.125
222_Unstim,I20,2.84,3.77,1.89,0.0371,3.08,0,0,0,0.0462,3.31,0.0001923857,0.896,0.703,0.196,0.251,0.188,0,2.52,2.61,0.422,4.31,1.28,2.43,0.044,0.923,0.0998,0.131,1.29,0.0928,5.46,0.889,0,0.111,0,2.59,0,3.65,0,0.141,0.272,0.0141
222_Unstim,I21,1.56,3.55,2.49,0.178,1.88,0,3.64,0,0.216,3.2,3.43,2.44,1.83,0.371,0.191,0.0495,0,1.8,2.11,0.358,3.77,1.02,1.46,0.746,0.485,0.00996,0.854,1.22,0.268,5.98,0.289,0,0.177,0.0254,1.77,0,3.44,0,0.205,0.644,0.0896
222_Unstim,I22,2.95,3.84,1.88,0.161,3.13,0,0,0,0.0573,3.37,0.064,0.632,0.533,0.17,0.157,0.445,0,2.57,2.47,0.543,4.45,1.37,2.33,0.299,1.18,0.404,0,1.21,0.0809,5.46,0.685,0,0.0991,0,4.55,0,5.43,0.137,0.18,0.291,0.159
222_Unstim,I23,2.79,3.87,2.15,0.136,2.83,0,0,0,0,2.94,0.00583,1.35,0.62,2.78,0.428,0.201,0,2.51,2.63,0.403,4.55,0.954,2.31,0,0.858,0.0697,0.577,1.39,0.196,6.1,0.881,0,0.15,0,3.33,0,3.27,0,0.183,0.323,0
222_Unstim,I24,0.309,4.6,3.37,0,0.00349,2.88,0,0,0,0,0,1.28,0.207,0.0581,0.343,0.091,0,1.1,0.676,0.506,4.25,2.91,0.378,0,0.498,0.00000039787201,0.782,3.53,0.165,6.41,0.69,0,0.117,0,0.237,0,2.26,0,0.0853,0.282,0
222_Unstim,I25,3,3.96,2.01,0.4,2.61,0,0,0,0,2.96,0.0716,0.817,0.4,3.39,0.191,0.591,0,2.56,2.34,0.573,4.71,0.904,2.26,0.431,1.19,0.493,0.352,1.3,0.183,6.23,0.411,0,0.145,0,5.56,0.028,5.71,0.366,0.258,0.326,0
222_Unstim,I26,3,3.95,1.98,0.402,2.93,0,0,0,0.0394,3.35,0.121,0.375,0.437,0.135,0.058,0.833,0,2.53,2.22,0.744,4.53,1.58,2.26,0.789,1.5,0.822,0,1.25,0.103,5.61,0.294,0,0.107,0,5.42,0.02,6.29,0.319,0.226,0.276,4.26
2233_Unstim,I01,0,0.0000034542202,0,1.35,0,0,0,0.066,0,1.04,1.28,0,2.98,1.42,2,2.1,0.258,0.167,0.283,2.84,2.77,0,3.22,0,0.472,0,0,0,0,1.41,0.617,0,0,0,0,0,0.0384,0.0875,0.224,0,0
